commune,superficie_m2,nb_pieces,age_batiment,etage,standing,meuble,parking,securite,loyer_fcfa
Yopougon,51.0,3.0,28.0,3,Économique,0,0,0,50000
Marcory,31.0,1.0,28.0,7,Moyen,0,1,1,105000
Riviera,83.0,4.0,26.0,1,Moyen,0,1,0,396000
Riviera,35.0,2.0,28.0,4,Économique,0,0,1,105000
Cocody,58.0,1.0,14.0,1,Moyen,1,1,1,378000
Adjamé,91.0,4.0,11.0,11,Moyen,1,0,0,226000
Riviera,159.0,5.0,18.0,5,Économique,0,1,0,616000
Plateau,79.0,2.0,11.0,8,Haut standing,1,1,1,729000
Abobo,40.0,3.0,22.0,11,Moyen,0,1,1,64000
Riviera,87.0,2.0,4.0,8,Économique,1,1,0,457000
Cocody,156.0,6.0,25.0,0,Économique,1,1,0,814000
Adjamé,78.0,3.0,9.0,3,Moyen,0,1,1,183000
Treichville,172.0,7.0,21.0,3,Économique,0,0,0,416000
Riviera,91.0,3.0,38.0,0,Économique,0,0,0,244000
Riviera,130.0,5.0,22.0,9,Économique,1,0,1,727000
Riviera,103.0,4.0,10.0,1,Moyen,0,1,1,530000
Yopougon,168.0,6.0,27.0,5,Moyen,1,1,0,290000
Bingerville,237.0,8.0,30.0,9,Économique,1,1,0,519000
Port-Bouët,71.0,2.0,7.0,2,Moyen,0,1,1,152000
Treichville,99.0,3.0,38.0,8,Haut standing,1,1,0,294000
Port-Bouët,159.0,7.0,27.0,2,Haut standing,0,1,0,295000
Cocody,104.0,3.0,15.0,2,Haut standing,0,0,1,546000
Abobo,30.0,1.0,30.0,8,Moyen,1,0,1,48000
Marcory,79.0,3.0,15.0,2,Économique,0,0,0,247000
Cocody,104.0,4.0,4.0,5,Économique,0,1,1,447000
Cocody,191.0,7.0,34.0,5,Économique,0,0,0,763000
Adjamé,97.0,3.0,24.0,0,Moyen,0,1,0,184000
Treichville,56.0,1.0,12.0,6,Haut standing,1,0,0,264000
Koumassi,105.0,4.0,28.0,8,Économique,1,0,0,237000
Cocody,,7.0,26.0,8,Moyen,0,1,0,1053000
Treichville,65.0,2.0,,8,Moyen,0,0,1,156000
Abobo,70.0,3.0,16.0,1,Économique,1,1,0,88000
Port-Bouët,66.0,,36.0,0,Moyen,0,1,0,116000
Treichville,43.0,1.0,37.0,5,Économique,0,1,0,61000
Abobo,94.0,4.0,28.0,5,Haut standing,1,1,1,182000
Bingerville,89.0,,33.0,3,Moyen,1,1,0,272000
Abobo,32.0,2.0,29.0,7,Moyen,0,0,0,42000
Marcory,58.0,3.0,30.0,4,Économique,1,1,0,201000
Cocody,101.0,5.0,21.0,6,Moyen,0,0,0,458000
Bingerville,128.0,5.0,24.0,8,Économique,0,0,0,259000
Cocody,146.0,7.0,3.0,0,Économique,0,0,0,617000
Bingerville,134.0,5.0,34.0,8,Économique,0,1,1,335000
Abobo,92.0,3.0,,3,Économique,0,1,1,112000
Riviera,39.0,3.0,25.0,6,Moyen,1,1,0,152000
Port-Bouët,81.0,3.0,26.0,10,Économique,1,0,0,159000
Riviera,20.0,2.0,26.0,3,Haut standing,0,0,0,96000
Yopougon,101.0,4.0,17.0,3,Économique,1,1,1,181000
Koumassi,64.0,3.0,29.0,3,Économique,0,1,0,114000
Yopougon,24.0,1.0,30.0,5,Haut standing,0,0,1,42000
Yopougon,111.0,4.0,2.0,4,Économique,0,0,0,188000
Abobo,180.0,7.0,28.0,1,Économique,0,1,0,165000
Bingerville,35.0,2.0,6.0,8,Économique,0,0,0,94000
Riviera,115.0,4.0,17.0,10,Moyen,1,1,0,603000
Koumassi,74.0,3.0,15.0,5,Moyen,0,1,0,174000
Yopougon,60.0,3.0,31.0,9,Économique,0,0,0,77000
Yopougon,60.0,1.0,37.0,5,Moyen,1,0,0,80000
Koumassi,74.0,3.0,24.0,8,Moyen,0,1,1,177000
Marcory,74.0,4.0,31.0,0,Haut standing,0,0,1,302000
Cocody,90.0,3.0,18.0,6,Économique,0,0,0,382000
Yopougon,57.0,1.0,2.0,2,Moyen,0,1,0,98000
Marcory,63.0,2.0,34.0,3,Économique,1,1,0,173000
Treichville,121.0,4.0,28.0,0,Économique,0,1,1,242000
Marcory,54.0,2.0,10.0,2,Économique,0,1,0,179000
Cocody,105.0,4.0,5.0,6,Moyen,0,1,1,707000
Cocody,76.0,2.0,18.0,5,Moyen,0,0,1,375000
Riviera,68.0,2.0,36.0,0,Moyen,0,1,0,232000
Yopougon,209.0,8.0,26.0,8,Moyen,0,1,1,335000
Yopougon,43.0,3.0,4.0,3,Moyen,0,0,1,95000
Adjamé,187.0,6.0,25.0,6,Moyen,0,0,1,285000
Marcory,138.0,6.0,34.0,3,Économique,0,1,1,380000
Riviera,65.0,3.0,18.0,6,Économique,1,0,0,356000
Koumassi,140.0,7.0,16.0,4,Économique,1,1,1,442000
Cocody,20.0,1.0,34.0,0,Économique,0,1,1,81000
Yopougon,61.0,1.0,12.0,3,Moyen,0,1,1,102000
Bingerville,54.0,2.0,13.0,2,Moyen,0,1,1,182000
Riviera,111.0,3.0,29.0,5,Moyen,0,1,0,438000
Yopougon,130.0,5.0,16.0,5,Économique,0,1,0,239000
Abobo,110.0,3.0,36.0,0,Moyen,0,1,1,134000
Plateau,98.0,3.0,14.0,10,Économique,1,1,0,655000
Riviera,144.0,,17.0,1,Haut standing,0,1,0,793000
Marcory,134.0,,13.0,11,Économique,1,0,0,449000
Riviera,64.0,3.0,13.0,1,Moyen,0,1,0,301000
Abobo,68.0,3.0,32.0,11,Moyen,0,0,0,88000
Abobo,130.0,5.0,37.0,9,Haut standing,1,1,0,257000
Abobo,89.0,3.0,10.0,3,Économique,0,0,0,88000
Marcory,92.0,4.0,10.0,8,Économique,1,1,1,307000
Plateau,99.0,5.0,25.0,10,Économique,0,1,0,480000
Marcory,31.0,1.0,2.0,1,Économique,1,1,1,157000
Plateau,62.0,3.0,24.0,10,Moyen,1,1,0,392000
Koumassi,116.0,6.0,16.0,7,Haut standing,0,1,1,405000
Yopougon,62.0,3.0,21.0,10,Économique,1,0,1,100000
Cocody,81.0,4.0,28.0,11,Moyen,0,0,0,362000
Riviera,116.0,5.0,25.0,0,Haut standing,0,0,0,503000
Bingerville,148.0,7.0,33.0,11,Économique,0,0,1,385000
Riviera,157.0,5.0,25.0,7,Moyen,0,1,1,739000
Riviera,161.0,7.0,8.0,2,Haut standing,0,0,1,1107000
Plateau,85.0,4.0,39.0,4,Haut standing,0,1,0,450000
Yopougon,,4.0,10.0,0,Moyen,1,1,1,163000
Koumassi,47.0,2.0,6.0,0,Économique,0,1,0,79000
Adjamé,181.0,8.0,29.0,5,Économique,1,0,0,370000
Plateau,78.0,4.0,1.0,2,Moyen,0,0,0,427000
Port-Bouët,179.0,8.0,29.0,7,Économique,0,0,0,309000
Marcory,106.0,3.0,3.0,3,Économique,1,1,1,369000
Marcory,152.0,6.0,13.0,5,Moyen,1,0,1,822000
Abobo,,4.0,12.0,9,Moyen,1,1,1,233000
Abobo,122.0,5.0,24.0,11,Moyen,0,1,1,188000
Abobo,154.0,5.0,12.0,8,Économique,0,0,0,164000
Cocody,70.0,,12.0,7,Économique,0,0,1,417000
Bingerville,162.0,5.0,36.0,3,Moyen,0,1,0,360000
Marcory,50.0,2.0,5.0,9,Moyen,0,0,1,213000
Cocody,206.0,8.0,25.0,7,Moyen,0,1,1,716000
Bingerville,99.0,4.0,13.0,6,Haut standing,0,1,0,395000
Riviera,63.0,2.0,7.0,4,Haut standing,1,0,0,484000
Bingerville,136.0,5.0,23.0,6,Moyen,1,1,0,454000
Port-Bouët,108.0,5.0,21.0,6,Économique,0,0,1,195000
Adjamé,,1.0,39.0,9,Moyen,0,0,1,51000
Abobo,74.0,4.0,38.0,1,Moyen,0,1,1,111000
Cocody,52.0,2.0,20.0,6,Économique,0,0,0,213000
Yopougon,54.0,2.0,25.0,2,Moyen,1,0,0,91000
Yopougon,53.0,1.0,9.0,7,Économique,0,1,1,84000
Marcory,119.0,6.0,12.0,7,Moyen,1,0,0,606000
Koumassi,141.0,5.0,13.0,8,Économique,0,0,1,262000
Yopougon,60.0,3.0,8.0,10,Moyen,1,1,1,180000
Cocody,27.0,1.0,6.0,3,Haut standing,0,0,1,180000
Marcory,20.0,1.0,38.0,9,Économique,1,1,0,72000
Adjamé,230.0,8.0,30.0,2,Moyen,0,0,0,332000
Cocody,99.0,5.0,15.0,8,Économique,0,1,1,581000
Bingerville,137.0,5.0,7.0,8,Haut standing,0,0,0,569000
Yopougon,83.0,3.0,14.0,1,Moyen,0,1,1,149000
Yopougon,23.0,,24.0,5,Haut standing,0,0,0,50000
Abobo,113.0,6.0,37.0,2,Haut standing,1,1,1,241000
Port-Bouët,196.0,9.0,14.0,4,Moyen,0,1,1,459000
Treichville,65.0,4.0,24.0,1,Économique,0,0,1,143000
Adjamé,21.0,2.0,6.0,3,Économique,1,0,0,46000
Abobo,46.0,2.0,25.0,10,Moyen,0,0,0,54000
Marcory,140.0,6.0,7.0,2,Moyen,0,1,0,615000
Bingerville,108.0,3.0,17.0,1,Moyen,1,1,0,383000
Port-Bouët,162.0,6.0,20.0,5,Économique,0,1,0,255000
Adjamé,92.0,5.0,15.0,10,Économique,0,1,1,182000
Bingerville,128.0,5.0,2.0,2,Moyen,1,0,0,500000
Bingerville,73.0,3.0,0.0,3,Économique,0,0,0,233000
Adjamé,48.0,2.0,12.0,5,Moyen,1,1,0,146000
Port-Bouët,129.0,4.0,31.0,11,Moyen,0,0,0,226000
Adjamé,141.0,5.0,11.0,11,Moyen,0,0,0,282000
Adjamé,66.0,4.0,30.0,4,Économique,0,1,0,105000
Abobo,187.0,8.0,1.0,3,Haut standing,1,0,1,397000
Koumassi,189.0,7.0,7.0,11,Économique,1,0,1,503000
Plateau,53.0,2.0,24.0,3,Économique,0,1,0,223000
Bingerville,55.0,2.0,4.0,1,Moyen,0,0,0,163000
Bingerville,56.0,1.0,1.0,11,Économique,0,0,0,174000
Cocody,86.0,4.0,37.0,9,Économique,0,1,0,273000
Port-Bouët,75.0,3.0,38.0,3,Économique,1,1,0,102000
Cocody,42.0,3.0,2.0,11,Moyen,1,0,1,296000
Treichville,57.0,2.0,37.0,7,Haut standing,1,0,0,195000
Koumassi,23.0,2.0,21.0,4,Moyen,0,1,0,54000
Plateau,26.0,1.0,39.0,10,Moyen,0,0,0,126000
Port-Bouët,37.0,2.0,32.0,9,Économique,0,0,0,47000
Port-Bouët,224.0,10.0,31.0,9,Économique,0,0,0,390000
Yopougon,210.0,9.0,16.0,7,Économique,0,0,0,250000
Cocody,132.0,4.0,17.0,5,Haut standing,1,1,0,796000
Marcory,66.0,4.0,2.0,11,Économique,0,1,1,247000
Abobo,37.0,1.0,5.0,9,Haut standing,0,0,1,60000
Riviera,91.0,3.0,12.0,4,Économique,0,1,1,544000
Abobo,115.0,6.0,30.0,3,Moyen,1,1,0,183000
Marcory,60.0,1.0,16.0,9,Haut standing,1,0,0,222000
Abobo,111.0,3.0,20.0,8,Économique,0,0,1,100000
Abobo,46.0,1.0,15.0,9,Moyen,1,1,0,76000
Koumassi,67.0,3.0,16.0,4,Économique,0,0,0,126000
Cocody,80.0,4.0,31.0,9,Économique,0,1,1,337000
Koumassi,214.0,8.0,0.0,10,Économique,0,1,0,594000
Abobo,57.0,3.0,37.0,5,Moyen,0,0,0,54000
Riviera,114.0,4.0,7.0,6,Économique,0,0,0,518000
Treichville,52.0,3.0,0.0,10,Économique,0,0,1,181000
Abobo,48.0,1.0,1.0,11,Haut standing,0,0,1,120000
Riviera,60.0,2.0,36.0,10,Économique,0,0,1,275000
Cocody,93.0,4.0,23.0,0,Économique,0,1,0,405000
Riviera,199.0,8.0,26.0,8,Haut standing,1,0,1,1330000
Adjamé,65.0,2.0,19.0,11,Économique,0,1,1,132000
Cocody,142.0,7.0,20.0,7,Économique,0,0,1,723000
Treichville,219.0,8.0,36.0,11,Moyen,0,1,0,402000
Adjamé,105.0,4.0,34.0,10,Économique,0,1,1,146000
Cocody,,5.0,37.0,4,Économique,0,1,1,637000
Abobo,58.0,3.0,14.0,2,Économique,0,0,1,83000
Treichville,113.0,5.0,29.0,4,Moyen,0,0,1,344000
Abobo,127.0,4.0,3.0,4,Économique,1,0,1,188000
Cocody,41.0,3.0,38.0,8,Économique,0,0,1,169000
Bingerville,55.0,2.0,14.0,6,Économique,1,1,0,176000
Riviera,78.0,4.0,22.0,1,Économique,1,1,0,450000
Riviera,61.0,3.0,14.0,4,Moyen,0,1,0,288000
Koumassi,83.0,3.0,25.0,8,Économique,0,1,0,138000
Cocody,,1.0,11.0,10,Moyen,0,1,1,224000
Koumassi,208.0,7.0,17.0,1,Moyen,0,1,0,401000
Cocody,149.0,5.0,5.0,7,Économique,0,0,0,650000
Cocody,386.0,10.0,17.0,11,Économique,0,0,0,1344000
Treichville,44.0,3.0,23.0,2,Économique,0,1,0,107000
Yopougon,115.0,,37.0,3,Économique,0,1,1,134000
Koumassi,61.0,1.0,27.0,1,Moyen,0,0,1,105000
Adjamé,48.0,3.0,14.0,8,Moyen,0,1,1,112000
Yopougon,145.0,7.0,18.0,5,Économique,0,0,0,159000
Marcory,94.0,4.0,4.0,8,Moyen,1,0,0,487000
Riviera,75.0,4.0,3.0,10,Haut standing,0,0,1,587000
Yopougon,106.0,4.0,16.0,7,Économique,0,1,0,188000
Yopougon,56.0,2.0,9.0,11,Moyen,0,0,1,113000
Plateau,55.0,1.0,11.0,8,Moyen,0,1,1,285000
Port-Bouët,63.0,2.0,4.0,4,Économique,0,0,0,120000
Adjamé,159.0,5.0,6.0,5,Moyen,0,1,0,338000
Marcory,153.0,7.0,22.0,6,Haut standing,1,0,0,817000
Cocody,43.0,3.0,1.0,4,Économique,0,0,1,284000
Adjamé,204.0,7.0,29.0,0,Moyen,0,0,0,260000
Adjamé,90.0,3.0,36.0,8,Économique,0,0,0,129000
Marcory,114.0,6.0,4.0,1,Économique,0,0,0,375000
Riviera,61.0,2.0,19.0,6,Moyen,0,1,0,366000
Plateau,93.0,4.0,25.0,11,Économique,0,0,1,509000
Yopougon,47.0,1.0,38.0,7,Moyen,0,1,0,60000
Riviera,59.0,1.0,5.0,7,Économique,0,1,0,298000
Yopougon,139.0,5.0,28.0,0,Moyen,0,1,0,190000
Abobo,141.0,6.0,9.0,9,Moyen,0,1,0,234000
Yopougon,117.0,4.0,15.0,6,Moyen,1,1,0,225000
Marcory,73.0,3.0,33.0,8,Économique,1,1,0,244000
Riviera,42.0,3.0,30.0,10,Économique,0,0,1,199000
Yopougon,169.0,8.0,35.0,10,Économique,0,1,0,220000
Bingerville,146.0,7.0,4.0,2,Moyen,0,0,0,312000
Marcory,29.0,1.0,32.0,7,Économique,1,0,0,80000
Marcory,142.0,7.0,18.0,7,Moyen,0,0,0,601000
Cocody,75.0,3.0,31.0,8,Économique,0,1,1,388000
Adjamé,130.0,5.0,22.0,7,Moyen,0,1,1,255000
Yopougon,38.0,2.0,2.0,4,Moyen,0,1,0,60000
Bingerville,63.0,2.0,0.0,4,Économique,0,0,0,169000
Yopougon,96.0,3.0,35.0,2,Moyen,0,0,0,130000
Riviera,208.0,8.0,27.0,11,Économique,0,0,0,728000
Plateau,96.0,4.0,38.0,5,Moyen,1,1,1,441000
Bingerville,156.0,6.0,4.0,9,Moyen,1,0,1,738000
Koumassi,103.0,4.0,12.0,2,Moyen,1,1,0,316000
Koumassi,101.0,5.0,10.0,1,Haut standing,0,1,1,389000
Port-Bouët,120.0,5.0,21.0,6,Moyen,1,1,1,251000
Koumassi,89.0,3.0,22.0,9,Moyen,1,1,1,290000
Abobo,137.0,4.0,11.0,2,Économique,1,0,0,174000
Cocody,50.0,1.0,20.0,3,Moyen,0,1,0,211000
Cocody,89.0,3.0,18.0,10,Économique,0,1,0,318000
Riviera,217.0,8.0,4.0,9,Moyen,0,1,0,897000
Abobo,159.0,6.0,23.0,7,Moyen,1,1,0,221000
Port-Bouët,108.0,4.0,29.0,0,Moyen,0,1,1,191000
Yopougon,149.0,7.0,7.0,8,Moyen,0,0,0,272000
Cocody,188.0,9.0,1.0,5,Moyen,0,0,1,1410000
Cocody,26.0,2.0,33.0,1,Économique,0,1,1,107000
Adjamé,79.0,3.0,22.0,2,Économique,1,1,0,125000
Yopougon,63.0,4.0,2.0,4,Moyen,0,0,0,105000
Marcory,40.0,2.0,23.0,10,Économique,0,1,1,145000
Yopougon,233.0,8.0,17.0,11,Moyen,1,0,1,432000
Cocody,123.0,5.0,36.0,5,Économique,0,0,1,451000
Abobo,146.0,6.0,30.0,8,Économique,1,0,1,218000
Marcory,65.0,2.0,13.0,1,Moyen,0,0,1,249000
Port-Bouët,78.0,2.0,0.0,4,Moyen,0,1,1,186000
Treichville,91.0,3.0,13.0,6,Économique,0,1,0,199000
Yopougon,112.0,5.0,4.0,10,Économique,0,1,1,270000
Cocody,135.0,6.0,30.0,11,Économique,0,1,1,574000
Cocody,30.0,2.0,30.0,10,Économique,1,0,0,181000
Yopougon,130.0,4.0,29.0,6,Économique,0,1,0,192000
Yopougon,81.0,4.0,35.0,3,Moyen,0,1,0,115000
Abobo,192.0,7.0,0.0,2,Haut standing,1,1,1,387000
Treichville,173.0,6.0,2.0,7,Économique,0,0,0,436000
Adjamé,106.0,3.0,19.0,1,Économique,0,1,1,211000
Bingerville,93.0,5.0,20.0,4,Moyen,0,1,1,316000
Koumassi,78.0,4.0,29.0,11,Haut standing,0,0,1,180000
Cocody,112.0,3.0,29.0,9,Économique,0,0,0,364000
Yopougon,168.0,8.0,4.0,4,Économique,1,0,1,373000
Cocody,94.0,4.0,9.0,0,Économique,0,0,0,420000
Marcory,,4.0,23.0,6,Économique,0,1,0,218000
Riviera,93.0,3.0,38.0,3,Moyen,0,1,0,317000
Plateau,107.0,3.0,5.0,9,Haut standing,0,1,0,781000
Yopougon,48.0,1.0,9.0,11,Moyen,1,1,0,100000
Abobo,41.0,2.0,9.0,1,Haut standing,0,1,0,72000
Adjamé,68.0,2.0,24.0,7,Économique,1,0,1,139000
Abobo,192.0,7.0,13.0,3,Haut standing,0,1,0,301000
Cocody,164.0,8.0,38.0,0,Économique,0,1,1,588000
Treichville,35.0,1.0,12.0,7,Économique,1,1,0,124000
Abobo,54.0,3.0,10.0,10,Moyen,0,0,0,81000
Cocody,133.0,4.0,38.0,6,Économique,0,0,0,448000
Yopougon,73.0,2.0,10.0,2,Économique,1,0,0,107000
Cocody,116.0,5.0,15.0,2,Moyen,0,1,0,586000
Cocody,36.0,1.0,32.0,6,Économique,0,1,0,123000
Yopougon,92.0,4.0,31.0,1,Moyen,0,0,0,143000
Cocody,87.0,4.0,9.0,4,Économique,1,1,0,437000
Abobo,146.0,6.0,14.0,6,Moyen,0,0,0,168000
Adjamé,112.0,5.0,15.0,5,Économique,1,0,0,231000
Port-Bouët,99.0,3.0,26.0,9,Moyen,0,1,1,182000
Marcory,31.0,2.0,31.0,6,Économique,1,0,0,115000
Plateau,221.0,10.0,,1,Moyen,0,0,0,1083000
Cocody,129.0,6.0,35.0,6,Moyen,0,0,0,516000
Abobo,62.0,2.0,7.0,1,Économique,0,0,1,72000
Adjamé,97.0,5.0,24.0,6,Économique,0,1,0,177000
Cocody,74.0,3.0,6.0,7,Économique,0,1,0,332000
Riviera,82.0,3.0,16.0,9,Moyen,0,0,1,421000
Cocody,162.0,6.0,29.0,7,Moyen,1,0,0,724000
Abobo,54.0,1.0,1.0,4,Économique,0,0,0,55000
Adjamé,131.0,4.0,16.0,6,Moyen,1,0,0,274000
Bingerville,166.0,6.0,3.0,10,Haut standing,0,1,1,793000
Koumassi,121.0,5.0,25.0,7,Économique,0,0,0,202000
Port-Bouët,84.0,2.0,13.0,3,Économique,1,0,0,157000
Treichville,59.0,3.0,7.0,1,Moyen,1,0,0,233000
Port-Bouët,64.0,3.0,4.0,6,Moyen,0,0,1,167000
Cocody,98.0,3.0,4.0,0,Économique,0,0,0,419000
Bingerville,94.0,4.0,4.0,11,Économique,0,1,0,349000
Abobo,140.0,5.0,26.0,1,Économique,0,0,0,109000
Port-Bouët,38.0,3.0,4.0,9,Moyen,1,0,0,141000
Yopougon,161.0,6.0,2.0,6,Moyen,0,1,1,269000
Abobo,292.0,10.0,37.0,11,Économique,0,1,0,311000
Abobo,89.0,3.0,29.0,11,Économique,0,0,0,71000
Koumassi,82.0,4.0,0.0,9,Économique,0,0,0,184000
Cocody,86.0,4.0,7.0,0,Moyen,0,1,1,475000
Cocody,97.0,3.0,12.0,6,Économique,1,1,0,613000
Marcory,78.0,2.0,19.0,4,Moyen,0,0,1,287000
Plateau,27.0,1.0,5.0,10,Moyen,0,0,0,158000
Bingerville,85.0,3.0,7.0,2,Moyen,1,0,0,330000
Marcory,52.0,1.0,29.0,10,Moyen,0,1,0,171000
Riviera,100.0,5.0,39.0,1,Économique,1,1,0,431000
Treichville,170.0,7.0,14.0,6,Moyen,0,0,0,454000
Plateau,53.0,1.0,9.0,8,Moyen,0,0,0,264000
Koumassi,204.0,9.0,32.0,8,Moyen,0,1,1,345000
Adjamé,75.0,4.0,8.0,9,Économique,1,0,0,166000
Yopougon,57.0,1.0,32.0,9,Économique,1,0,1,87000
Abobo,129.0,4.0,8.0,7,Moyen,0,1,0,160000
Koumassi,71.0,3.0,13.0,1,Haut standing,0,0,0,180000
Marcory,90.0,3.0,31.0,0,Moyen,0,1,0,296000
Riviera,93.0,4.0,36.0,7,Moyen,0,1,0,379000
Riviera,125.0,6.0,5.0,1,Moyen,1,1,0,726000
Adjamé,88.0,4.0,4.0,3,Économique,0,1,0,194000
Marcory,83.0,2.0,3.0,11,Moyen,0,0,1,349000
Adjamé,74.0,3.0,15.0,3,Moyen,0,1,0,154000
Cocody,119.0,6.0,9.0,1,Moyen,0,1,0,628000
Cocody,69.0,4.0,30.0,3,Haut standing,1,0,1,405000
Marcory,173.0,6.0,30.0,6,Économique,0,0,0,438000
Yopougon,93.0,4.0,13.0,5,Économique,0,1,1,165000
Bingerville,32.0,1.0,12.0,9,Haut standing,0,0,0,111000
Koumassi,107.0,3.0,3.0,5,Économique,0,0,0,209000
Koumassi,,6.0,,3,Moyen,0,0,1,287000
Yopougon,174.0,7.0,23.0,1,Haut standing,1,0,0,318000
Treichville,61.0,1.0,8.0,4,Économique,0,1,1,172000
Yopougon,56.0,3.0,34.0,10,Moyen,0,0,1,87000
Riviera,127.0,4.0,14.0,2,Économique,1,0,1,673000
Cocody,160.0,6.0,23.0,2,Moyen,0,1,1,906000
Bingerville,59.0,,30.0,3,Économique,0,1,0,131000
Abobo,,4.0,18.0,10,Moyen,0,1,1,160000
Yopougon,,5.0,1.0,10,Moyen,0,0,0,175000
Koumassi,61.0,3.0,1.0,4,Moyen,0,0,1,143000
Yopougon,86.0,2.0,35.0,10,Moyen,0,1,0,123000
Bingerville,154.0,7.0,36.0,1,Haut standing,0,0,0,456000
Riviera,94.0,3.0,33.0,5,Moyen,0,0,1,338000
Yopougon,84.0,2.0,38.0,5,Haut standing,0,1,1,109000
Marcory,124.0,5.0,18.0,7,Économique,0,0,1,427000
Abobo,161.0,5.0,37.0,1,Moyen,0,1,0,152000
Riviera,53.0,2.0,22.0,7,Économique,1,1,0,274000
Marcory,108.0,3.0,15.0,7,Haut standing,1,0,1,470000
Abobo,76.0,3.0,5.0,3,Économique,0,0,0,91000
Abobo,94.0,5.0,,6,Économique,1,0,1,134000
Koumassi,129.0,4.0,21.0,6,Économique,0,0,1,230000
Cocody,79.0,3.0,23.0,0,Économique,1,1,1,488000
Koumassi,88.0,3.0,39.0,0,Haut standing,0,1,1,200000
Riviera,148.0,6.0,20.0,7,Économique,0,0,1,489000
Plateau,115.0,5.0,29.0,10,Haut standing,1,0,0,792000
Marcory,87.0,2.0,,0,Économique,1,0,1,252000
Riviera,99.0,3.0,8.0,2,Haut standing,0,1,0,668000
Plateau,95.0,5.0,11.0,5,Moyen,1,1,0,740000
Bingerville,31.0,2.0,25.0,7,Économique,0,0,0,76000
Yopougon,99.0,5.0,,4,Économique,0,1,1,113000
Marcory,43.0,1.0,2.0,4,Économique,0,0,1,152000
Bingerville,159.0,7.0,32.0,3,Économique,0,0,0,396000
Yopougon,43.0,2.0,14.0,3,Économique,1,0,1,85000
Abobo,74.0,2.0,4.0,6,Économique,1,1,1,132000
Yopougon,66.0,3.0,23.0,5,Économique,0,0,1,111000
Abobo,188.0,8.0,10.0,7,Moyen,0,1,0,334000
Plateau,156.0,6.0,32.0,10,Économique,1,0,1,843000
Yopougon,20.0,1.0,22.0,5,Moyen,0,1,1,38000
Riviera,91.0,3.0,9.0,10,Haut standing,0,0,1,701000
Marcory,48.0,3.0,27.0,9,Économique,0,0,0,122000
Adjamé,100.0,5.0,38.0,6,Moyen,0,0,0,170000
Treichville,127.0,6.0,16.0,9,Économique,1,1,0,359000
Koumassi,104.0,5.0,25.0,9,Économique,0,1,0,195000
Cocody,131.0,5.0,24.0,4,Moyen,0,0,0,653000
Riviera,,2.0,35.0,5,Économique,1,0,0,258000
Yopougon,106.0,5.0,11.0,0,Économique,0,1,1,202000
Marcory,129.0,5.0,2.0,2,Économique,0,0,0,381000
Cocody,72.0,2.0,28.0,11,Moyen,0,1,0,375000
Plateau,,1.0,23.0,7,Moyen,0,1,0,340000
Abobo,64.0,2.0,18.0,2,Haut standing,1,1,0,105000
Treichville,86.0,3.0,12.0,0,Haut standing,0,1,1,340000
Port-Bouët,92.0,5.0,15.0,2,Économique,1,1,0,246000
Yopougon,109.0,3.0,39.0,11,Économique,0,0,1,121000
Marcory,61.0,2.0,26.0,3,Économique,0,0,0,166000
Abobo,131.0,4.0,5.0,7,Moyen,0,0,1,164000
Adjamé,209.0,8.0,9.0,8,Moyen,1,1,0,697000
Plateau,66.0,4.0,37.0,3,Économique,0,1,0,251000
Plateau,266.0,10.0,7.0,11,Économique,0,0,1,1433000
Cocody,223.0,8.0,17.0,6,Économique,0,1,0,932000
Koumassi,92.0,5.0,31.0,0,Haut standing,0,0,0,209000
Adjamé,85.0,4.0,16.0,8,Haut standing,0,1,1,260000
Yopougon,64.0,3.0,1.0,10,Économique,0,0,0,113000
Port-Bouët,140.0,6.0,19.0,11,Économique,1,1,1,316000
Port-Bouët,95.0,3.0,9.0,3,Économique,1,0,0,169000
Abobo,101.0,4.0,8.0,8,Haut standing,0,1,0,223000
Bingerville,57.0,3.0,38.0,2,Haut standing,0,0,0,187000
Marcory,142.0,6.0,24.0,10,Économique,0,0,0,346000
Cocody,81.0,4.0,24.0,4,Économique,0,1,0,360000
Marcory,50.0,1.0,23.0,0,Économique,0,1,0,147000
Cocody,88.0,5.0,,10,Moyen,0,1,1,766000
Abobo,59.0,2.0,29.0,2,Moyen,1,1,1,84000
Riviera,174.0,7.0,9.0,4,Moyen,0,1,1,1084000
Cocody,222.0,9.0,38.0,5,Haut standing,0,1,0,1207000
Cocody,90.0,4.0,30.0,7,Économique,1,1,0,399000
Yopougon,153.0,5.0,17.0,0,Moyen,1,1,0,267000
Riviera,151.0,7.0,32.0,2,Économique,0,1,0,496000
Treichville,20.0,1.0,18.0,0,Économique,0,1,1,54000
Yopougon,64.0,4.0,22.0,4,Moyen,0,1,1,98000
Cocody,,3.0,4.0,7,Haut standing,0,1,0,642000
Plateau,73.0,4.0,25.0,3,Moyen,1,0,0,419000
Riviera,62.0,2.0,28.0,10,Moyen,1,1,1,268000
Riviera,157.0,7.0,23.0,8,Moyen,1,0,0,862000
Cocody,71.0,3.0,5.0,5,Économique,0,0,1,386000
Riviera,109.0,4.0,38.0,5,Moyen,0,1,1,371000
Abobo,150.0,5.0,3.0,10,Moyen,0,1,0,228000
Bingerville,179.0,6.0,25.0,4,Moyen,0,0,0,377000
Yopougon,50.0,3.0,14.0,9,Moyen,0,0,1,98000
